gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Result
female,group C,bachelor's degree,free/reduced,completed,66,83,83,Passed
male,group C,associate's degree,standard,completed,51,60,58,Failed
female,group D,high school,standard,none,51,66,62,Failed
male,group E,bachelor's degree,standard,completed,85,66,71,Passed
male,group A,associate's degree,standard,completed,97,92,86,Passed
male,group C,high school,standard,completed,75,69,68,Passed
male,group D,associate's degree,free/reduced,completed,79,82,80,Passed
female,group C,associate's degree,standard,none,81,77,79,Passed
female,group D,associate's degree,standard,none,82,95,89,Passed
female,group D,master's degree,standard,none,64,63,66,Failed
male,group E,some high school,free/reduced,completed,78,83,80,Passed
female,group A,some high school,standard,completed,92,100,97,Passed
male,group C,high school,standard,completed,72,67,64,Passed
female,group C,high school,free/reduced,none,62,67,64,Failed
male,group C,master's degree,standard,none,79,72,69,Passed
male,group C,some high school,free/reduced,none,79,76,65,Passed
male,group B,bachelor's degree,free/reduced,completed,87,90,88,Passed
female,group B,associate's degree,standard,none,40,48,50,Failed
male,group D,some college,free/reduced,none,77,62,64,Passed
male,group E,associate's degree,standard,none,53,45,40,Failed
female,group C,some college,free/reduced,none,32,39,33,Failed
female,group C,associate's degree,standard,completed,55,72,79,Passed
male,group C,master's degree,free/reduced,none,61,67,66,Failed
female,group B,associate's degree,free/reduced,none,53,70,70,Failed
male,group D,some high school,standard,none,73,66,62,Passed
female,group D,some college,standard,completed,74,75,79,Passed
female,group C,some college,standard,none,63,74,74,Passed
male,group C,bachelor's degree,standard,completed,96,90,92,Passed
female,group D,some college,free/reduced,completed,63,80,80,Passed
male,group B,bachelor's degree,free/reduced,none,48,51,46,Failed
male,group B,associate's degree,standard,none,48,43,45,Failed
female,group E,bachelor's degree,free/reduced,completed,92,100,100,Passed
female,group D,master's degree,free/reduced,completed,61,71,78,Passed
male,group B,high school,free/reduced,none,63,48,47,Failed
male,group D,bachelor's degree,free/reduced,none,68,68,67,Passed
male,group B,some college,standard,completed,71,75,70,Passed
male,group A,bachelor's degree,standard,none,91,96,92,Passed
female,group C,some college,standard,none,53,62,56,Failed
female,group C,high school,free/reduced,completed,50,66,64,Failed
female,group E,high school,standard,none,74,81,71,Passed
male,group A,associate's degree,free/reduced,completed,40,55,53,Failed
male,group A,some college,standard,completed,61,51,52,Failed
female,group B,high school,standard,none,81,91,89,Passed
female,group B,some college,free/reduced,completed,48,56,58,Failed
female,group D,master's degree,standard,none,53,61,68,Failed
female,group D,some high school,standard,none,81,97,96,Passed
female,group E,some high school,standard,none,77,79,80,Passed
female,group D,bachelor's degree,free/reduced,none,63,73,78,Passed
female,group D,associate's degree,standard,completed,73,75,80,Passed
female,group D,some college,standard,none,69,77,77,Passed
female,group C,associate's degree,standard,none,65,76,76,Passed
female,group A,high school,standard,none,55,73,73,Passed
female,group C,bachelor's degree,free/reduced,none,44,63,62,Failed
female,group C,some college,standard,none,54,64,65,Failed
female,group A,some high school,standard,none,48,66,65,Failed
male,group C,some college,free/reduced,none,58,57,54,Failed
male,group A,some high school,standard,none,71,62,50,Failed
male,group E,bachelor's degree,standard,none,68,68,64,Failed
female,group E,high school,standard,none,74,76,73,Passed
female,group C,bachelor's degree,standard,completed,92,100,99,Passed
female,group C,bachelor's degree,standard,completed,56,79,72,Passed
male,group B,high school,free/reduced,none,30,24,15,Failed
male,group A,some high school,standard,none,53,54,48,Failed
female,group D,high school,standard,none,69,77,73,Passed
female,group D,some high school,standard,none,65,82,81,Passed
female,group D,master's degree,standard,none,54,60,63,Failed
female,group C,high school,standard,none,29,29,30,Failed
female,group E,some college,standard,none,76,78,80,Passed
male,group D,high school,free/reduced,none,60,57,51,Failed
male,group D,master's degree,free/reduced,completed,84,89,90,Passed
male,group C,some high school,standard,none,75,72,62,Passed
female,group C,associate's degree,standard,none,85,84,82,Passed
female,group C,master's degree,free/reduced,none,40,58,54,Failed
female,group E,some college,standard,none,61,64,62,Failed
female,group B,associate's degree,standard,none,58,63,65,Failed
male,group D,some college,free/reduced,completed,69,60,63,Failed
female,group C,some college,standard,none,58,59,66,Failed
male,group C,bachelor's degree,standard,completed,94,90,91,Passed
female,group C,associate's degree,standard,none,65,77,74,Passed
female,group A,associate's degree,standard,none,82,93,93,Passed
female,group C,high school,standard,none,60,68,72,Failed
female,group E,bachelor's degree,standard,none,37,45,38,Failed
male,group D,bachelor's degree,standard,none,88,78,83,Passed
male,group D,master's degree,standard,none,95,81,84,Passed
male,group C,associate's degree,free/reduced,completed,65,73,68,Passed
female,group C,high school,free/reduced,none,35,61,54,Failed
male,group B,bachelor's degree,free/reduced,none,62,63,56,Failed
male,group C,high school,free/reduced,completed,58,51,52,Failed
male,group A,some college,standard,completed,100,96,86,Passed
female,group E,bachelor's degree,free/reduced,none,61,58,62,Failed
male,group D,some college,standard,completed,100,97,99,Passed
male,group B,associate's degree,free/reduced,completed,69,70,63,Passed
male,group D,associate's degree,standard,none,61,48,46,Failed
male,group D,some college,free/reduced,none,49,57,46,Failed
female,group C,some high school,standard,completed,44,51,55,Failed
male,group D,some college,standard,none,67,64,70,Passed
male,group B,high school,standard,none,79,60,65,Passed
female,group B,bachelor's degree,standard,completed,66,74,81,Passed
female,group C,high school,standard,none,75,88,85,Passed
male,group D,some high school,standard,none,84,84,80,Passed
male,group A,high school,standard,none,71,74,64,Passed
female,group B,high school,free/reduced,completed,67,80,81,Passed
female,group D,some high school,standard,completed,80,92,88,Passed
male,group E,some college,standard,none,86,76,74,Passed
female,group D,associate's degree,standard,none,76,74,73,Passed
male,group D,high school,standard,none,41,52,51,Failed
female,group D,associate's degree,free/reduced,completed,74,88,90,Passed
female,group B,some high school,free/reduced,none,72,81,79,Passed
female,group E,high school,standard,completed,74,79,80,Passed
male,group B,high school,standard,none,70,65,60,Failed
female,group B,bachelor's degree,standard,completed,65,81,81,Passed
female,group D,associate's degree,standard,none,59,70,65,Failed
female,group E,high school,free/reduced,none,64,62,68,Failed
female,group B,high school,standard,none,50,53,55,Failed
female,group D,some college,standard,completed,69,79,81,Passed
male,group C,some high school,free/reduced,completed,51,56,53,Failed
female,group A,high school,standard,completed,68,80,76,Passed
female,group D,some college,standard,completed,85,86,98,Passed
female,group A,associate's degree,standard,completed,65,70,74,Passed
female,group B,some high school,standard,none,73,79,79,Passed
female,group B,some college,standard,none,62,67,67,Failed
male,group C,associate's degree,free/reduced,none,77,67,64,Passed
male,group D,some high school,standard,none,69,66,61,Failed
female,group D,associate's degree,free/reduced,none,43,60,58,Failed
male,group D,associate's degree,standard,none,90,87,85,Passed
male,group C,some college,free/reduced,none,74,77,73,Passed
male,group C,some high school,standard,none,73,66,63,Passed
female,group D,some college,free/reduced,none,55,71,69,Failed
female,group C,high school,standard,none,65,69,67,Passed
male,group D,associate's degree,standard,none,80,63,63,Passed
female,group C,some high school,free/reduced,completed,50,60,60,Failed
female,group C,some college,free/reduced,completed,63,73,71,Passed
female,group B,bachelor's degree,free/reduced,none,77,85,87,Passed
male,group C,some college,standard,none,73,74,61,Passed
male,group D,associate's degree,standard,completed,81,72,77,Passed
female,group C,high school,free/reduced,none,66,76,68,Passed
male,group D,associate's degree,free/reduced,none,52,57,50,Failed
female,group C,some college,standard,none,69,78,76,Passed
female,group C,associate's degree,standard,completed,65,84,84,Passed
female,group D,high school,standard,completed,69,77,78,Passed
female,group B,some college,standard,completed,50,64,66,Failed
female,group E,some college,standard,completed,73,78,76,Passed
female,group C,some high school,standard,completed,70,82,76,Passed
male,group D,associate's degree,free/reduced,none,81,75,78,Passed
male,group D,some college,free/reduced,none,63,61,60,Failed
female,group D,high school,standard,none,67,72,74,Passed
male,group B,high school,standard,none,60,68,60,Failed
male,group B,high school,standard,none,62,55,54,Failed
female,group C,some high school,free/reduced,completed,29,40,44,Failed
male,group B,some college,standard,completed,62,66,68,Failed
female,group E,master's degree,standard,completed,94,99,100,Passed
male,group E,some college,standard,completed,85,75,68,Passed
male,group D,associate's degree,free/reduced,none,77,78,73,Passed
male,group A,high school,free/reduced,none,53,58,44,Failed
male,group E,some college,free/reduced,none,93,90,83,Passed
female,group C,associate's degree,standard,none,49,53,53,Failed
female,group E,associate's degree,free/reduced,none,73,76,78,Passed
female,group C,bachelor's degree,free/reduced,completed,66,74,81,Passed
female,group D,associate's degree,standard,none,77,77,73,Passed
female,group C,some high school,standard,none,49,63,56,Failed
female,group D,some college,free/reduced,none,79,89,86,Passed
female,group C,associate's degree,standard,completed,75,82,90,Passed
female,group A,bachelor's degree,standard,none,59,72,70,Passed
female,group D,associate's degree,standard,completed,57,78,79,Passed
male,group C,high school,free/reduced,none,66,66,59,Failed
female,group E,bachelor's degree,standard,completed,79,81,82,Passed
female,group B,some high school,standard,none,57,67,72,Failed
male,group A,bachelor's degree,standard,completed,87,84,87,Passed
female,group D,some college,standard,none,63,64,67,Failed
female,group B,some high school,free/reduced,completed,59,63,64,Failed
male,group A,bachelor's degree,free/reduced,none,62,72,65,Failed
male,group D,high school,standard,none,46,34,36,Failed
male,group C,some college,standard,none,66,59,52,Failed
male,group D,high school,standard,none,89,87,79,Passed
female,group D,associate's degree,free/reduced,completed,42,61,58,Failed
male,group C,some college,standard,completed,93,84,90,Passed
female,group E,some high school,standard,completed,80,85,85,Passed
female,group D,some college,standard,none,98,100,99,Passed
male,group D,master's degree,standard,none,81,81,84,Passed
female,group B,some high school,standard,completed,60,70,74,Passed
female,group B,associate's degree,free/reduced,completed,76,94,87,Passed
male,group C,associate's degree,standard,completed,73,78,72,Passed
female,group C,associate's degree,standard,completed,96,96,99,Passed
female,group C,high school,standard,none,76,76,74,Passed
male,group E,associate's degree,free/reduced,completed,91,73,80,Passed
female,group C,some college,free/reduced,none,62,72,70,Passed
male,group D,some high school,free/reduced,completed,55,59,59,Failed
female,group B,some high school,free/reduced,completed,74,90,88,Passed
male,group C,high school,standard,none,50,48,42,Failed
male,group B,some college,standard,none,47,43,41,Failed
male,group E,some college,standard,completed,81,74,71,Passed
female,group E,associate's degree,standard,completed,65,75,77,Passed
male,group E,some high school,standard,completed,68,51,57,Failed
female,group D,high school,free/reduced,none,73,92,84,Passed
male,group C,some college,standard,none,53,39,37,Failed
female,group B,associate's degree,free/reduced,completed,68,77,80,Passed
male,group A,some high school,free/reduced,none,55,46,43,Failed
female,group C,some college,standard,completed,87,89,94,Passed
male,group D,some high school,standard,none,55,47,44,Failed
female,group E,some college,free/reduced,none,53,58,57,Failed
male,group C,master's degree,standard,none,67,57,59,Failed
male,group C,associate's degree,standard,none,92,79,84,Passed
female,group B,some college,free/reduced,completed,53,66,73,Failed
male,group D,associate's degree,standard,none,81,71,73,Passed
male,group C,high school,free/reduced,none,61,60,55,Failed
male,group D,bachelor's degree,standard,none,80,73,72,Passed
female,group A,associate's degree,free/reduced,none,37,57,56,Failed
female,group C,high school,standard,none,81,84,82,Passed
female,group C,associate's degree,standard,completed,59,73,72,Passed
male,group B,some college,free/reduced,none,55,55,47,Failed
male,group D,associate's degree,standard,none,72,79,74,Passed
male,group D,high school,standard,none,69,75,71,Passed
male,group C,some college,standard,none,69,64,68,Passed
female,group C,bachelor's degree,free/reduced,none,50,60,59,Failed
male,group B,some college,standard,completed,87,84,86,Passed
male,group D,some high school,standard,completed,71,69,68,Passed
male,group E,some college,standard,none,68,72,65,Passed
male,group C,master's degree,free/reduced,completed,79,77,75,Passed
female,group C,some high school,standard,completed,77,90,85,Passed
male,group C,associate's degree,free/reduced,none,58,55,53,Failed
female,group E,associate's degree,standard,none,84,95,92,Passed
male,group D,some college,standard,none,55,58,52,Failed
male,group E,bachelor's degree,free/reduced,completed,70,68,72,Passed
female,group D,some college,free/reduced,completed,52,59,65,Failed
male,group B,some college,standard,completed,69,77,77,Passed
female,group C,high school,free/reduced,none,53,72,64,Failed
female,group D,some high school,standard,none,48,58,54,Failed
male,group D,some high school,standard,completed,78,81,86,Passed
female,group B,high school,standard,none,62,62,63,Failed
male,group D,some college,standard,none,60,63,59,Failed
female,group B,high school,standard,none,74,72,72,Passed
female,group C,high school,standard,completed,58,75,77,Passed
male,group B,high school,standard,completed,76,62,60,Failed
female,group D,some high school,standard,none,68,71,75,Passed
male,group A,some college,free/reduced,none,58,60,57,Failed
male,group B,high school,standard,none,52,48,49,Failed
male,group D,bachelor's degree,standard,none,75,73,74,Passed
female,group B,some high school,free/reduced,completed,52,67,72,Failed
female,group C,bachelor's degree,free/reduced,none,62,78,79,Passed
male,group B,some college,standard,none,66,65,60,Failed
female,group B,some high school,free/reduced,none,49,58,55,Failed
female,group B,high school,standard,none,66,72,70,Passed
female,group C,some college,free/reduced,none,35,44,43,Failed
female,group A,some college,standard,completed,72,79,82,Passed
male,group E,associate's degree,standard,completed,94,85,82,Passed
female,group D,associate's degree,free/reduced,none,46,56,57,Failed
female,group B,master's degree,standard,none,77,90,84,Passed
female,group B,high school,free/reduced,completed,76,85,82,Passed
female,group C,associate's degree,standard,completed,52,59,62,Failed
male,group C,bachelor's degree,standard,completed,91,81,79,Passed
female,group B,some high school,standard,completed,32,51,44,Failed
female,group E,some high school,free/reduced,none,72,79,77,Passed
female,group B,some college,standard,none,19,38,32,Failed
male,group C,associate's degree,free/reduced,none,68,65,61,Failed
female,group C,master's degree,free/reduced,none,52,65,61,Failed
female,group B,high school,standard,none,48,62,60,Failed
female,group D,some college,free/reduced,none,60,66,70,Failed
male,group D,high school,free/reduced,none,66,74,69,Passed
male,group E,some high school,standard,completed,89,84,77,Passed
female,group B,high school,standard,none,42,52,51,Failed
female,group E,associate's degree,free/reduced,completed,57,68,73,Failed
male,group D,high school,standard,none,70,70,70,Passed
female,group E,associate's degree,free/reduced,none,70,84,81,Passed
male,group E,some college,standard,none,69,60,54,Failed
female,group C,associate's degree,standard,none,52,55,57,Failed
male,group C,some high school,standard,completed,67,73,68,Passed
male,group C,some high school,standard,completed,76,80,73,Passed
female,group E,associate's degree,standard,none,87,94,95,Passed
female,group B,some college,standard,none,82,85,87,Passed
female,group C,some college,standard,none,73,76,78,Passed
male,group A,some college,free/reduced,none,75,81,74,Passed
female,group D,some college,free/reduced,none,64,74,75,Passed
female,group E,high school,free/reduced,none,41,45,40,Failed
male,group C,high school,standard,none,90,75,69,Passed
male,group B,bachelor's degree,standard,none,59,54,51,Failed
male,group A,some high school,standard,none,51,31,36,Failed
male,group A,high school,free/reduced,none,45,47,49,Failed
female,group C,master's degree,standard,completed,54,64,67,Failed
male,group E,some high school,standard,completed,87,84,76,Passed
female,group C,high school,standard,none,72,80,83,Passed
male,group B,some high school,standard,completed,94,86,87,Passed
female,group A,bachelor's degree,standard,none,45,59,64,Failed
male,group D,bachelor's degree,free/reduced,completed,61,70,76,Passed
female,group B,high school,free/reduced,none,60,72,68,Failed
female,group C,some high school,standard,none,77,91,88,Passed
female,group A,some high school,standard,completed,85,90,92,Passed
female,group D,bachelor's degree,free/reduced,none,78,90,93,Passed
male,group E,some college,free/reduced,completed,49,52,51,Failed
female,group B,high school,free/reduced,none,71,87,82,Passed
female,group C,some high school,free/reduced,none,48,58,52,Failed
male,group C,high school,standard,none,62,67,58,Failed
female,group C,associate's degree,free/reduced,completed,56,68,70,Failed
female,group C,some high school,standard,none,65,69,76,Passed
female,group D,some high school,free/reduced,completed,69,86,81,Passed
male,group B,some high school,standard,none,68,54,53,Failed
female,group A,some college,free/reduced,none,61,60,57,Failed
female,group C,bachelor's degree,free/reduced,completed,74,86,89,Passed
male,group A,bachelor's degree,standard,none,64,60,58,Failed
female,group B,high school,standard,completed,77,82,89,Passed
male,group B,some college,standard,none,58,50,45,Failed
female,group C,high school,standard,completed,60,64,74,Failed
male,group E,high school,standard,none,73,64,57,Failed
female,group A,high school,standard,completed,75,82,79,Passed
male,group B,associate's degree,free/reduced,completed,58,57,53,Failed
female,group C,associate's degree,standard,none,66,77,73,Passed
female,group D,high school,free/reduced,none,39,52,46,Failed
male,group C,some high school,standard,none,64,58,51,Failed
female,group B,high school,free/reduced,completed,23,44,36,Failed
male,group B,some college,free/reduced,completed,74,77,76,Passed
female,group D,some high school,free/reduced,completed,40,65,64,Failed
male,group E,master's degree,standard,none,90,85,84,Passed
male,group C,master's degree,standard,completed,91,85,85,Passed
male,group D,high school,standard,none,64,54,50,Failed
female,group C,high school,standard,none,59,72,68,Failed
male,group D,associate's degree,standard,none,80,75,69,Passed
male,group C,master's degree,standard,none,71,67,67,Passed
female,group A,high school,standard,none,61,68,63,Failed
female,group E,some college,standard,none,87,85,93,Passed
male,group E,some high school,standard,none,82,67,61,Passed
male,group C,some high school,standard,none,62,64,55,Failed
female,group B,bachelor's degree,standard,none,97,97,96,Passed
male,group B,some college,free/reduced,none,75,68,65,Passed
female,group C,bachelor's degree,standard,none,65,79,81,Passed
male,group B,high school,standard,completed,52,49,46,Failed
male,group C,associate's degree,free/reduced,none,87,73,72,Passed
female,group C,associate's degree,standard,none,53,62,53,Failed
female,group E,master's degree,free/reduced,none,81,86,87,Passed
male,group D,bachelor's degree,free/reduced,completed,39,42,38,Failed
female,group C,some college,standard,completed,71,71,80,Passed
male,group C,associate's degree,standard,none,97,93,91,Passed
male,group D,some college,standard,completed,82,82,88,Passed
male,group C,high school,free/reduced,none,59,53,52,Failed
male,group B,associate's degree,standard,none,61,42,41,Failed
male,group E,associate's degree,free/reduced,completed,78,74,72,Passed
male,group C,associate's degree,free/reduced,none,49,51,51,Failed
male,group B,high school,standard,none,59,58,47,Failed
female,group C,some college,standard,completed,70,72,76,Passed
male,group B,associate's degree,standard,completed,82,84,78,Passed
male,group E,associate's degree,free/reduced,none,90,90,82,Passed
female,group C,bachelor's degree,free/reduced,none,43,62,61,Failed
male,group C,some college,free/reduced,none,80,64,66,Passed
male,group D,some college,standard,none,81,82,84,Passed
male,group C,some high school,standard,none,57,61,54,Failed
female,group D,some high school,standard,none,59,72,80,Passed
female,group D,associate's degree,standard,none,64,76,74,Passed
male,group C,bachelor's degree,standard,completed,63,64,66,Failed
female,group E,bachelor's degree,standard,completed,71,70,70,Passed
female,group B,high school,free/reduced,none,64,73,71,Passed
male,group D,bachelor's degree,free/reduced,none,55,46,44,Failed
female,group E,associate's degree,standard,none,51,51,54,Failed
female,group C,associate's degree,standard,completed,62,76,80,Passed
female,group E,associate's degree,standard,completed,93,100,95,Passed
male,group C,high school,free/reduced,none,54,72,59,Failed
female,group D,some college,free/reduced,none,69,65,74,Passed
male,group D,high school,free/reduced,none,44,51,48,Failed
female,group E,some college,standard,completed,86,85,91,Passed
female,group E,associate's degree,standard,none,85,92,85,Passed
female,group A,master's degree,free/reduced,none,50,67,73,Failed
male,group D,some high school,standard,completed,88,74,75,Passed
female,group E,associate's degree,standard,none,59,62,69,Failed
female,group E,some high school,free/reduced,none,32,34,38,Failed
male,group B,high school,free/reduced,none,36,29,27,Failed
female,group B,some high school,free/reduced,completed,63,78,79,Passed
male,group D,associate's degree,standard,completed,67,54,63,Failed
female,group D,some high school,standard,completed,65,78,82,Passed
male,group D,master's degree,standard,none,85,84,89,Passed
female,group C,master's degree,standard,none,73,78,74,Passed
female,group A,high school,free/reduced,completed,34,48,41,Failed
female,group D,bachelor's degree,free/reduced,completed,93,100,100,Passed
female,group D,some high school,free/reduced,none,67,84,84,Passed
male,group D,some college,standard,none,88,77,77,Passed
male,group B,high school,standard,none,57,48,51,Failed
female,group D,some college,standard,completed,79,84,91,Passed
female,group C,bachelor's degree,free/reduced,none,67,75,72,Passed
male,group E,bachelor's degree,standard,completed,70,64,70,Passed
male,group D,bachelor's degree,free/reduced,none,50,42,48,Failed
female,group A,some college,standard,none,69,84,82,Passed
female,group C,bachelor's degree,standard,completed,52,61,66,Failed
female,group C,bachelor's degree,free/reduced,completed,47,62,66,Failed
female,group B,associate's degree,free/reduced,none,46,61,55,Failed
female,group E,some college,standard,none,68,70,66,Passed
male,group E,bachelor's degree,standard,completed,100,100,100,Passed
female,group C,high school,standard,none,44,61,52,Failed
female,group C,associate's degree,standard,completed,57,77,80,Passed
male,group B,some college,standard,completed,91,96,91,Passed
male,group D,high school,free/reduced,none,69,70,67,Passed
female,group C,high school,free/reduced,none,35,53,46,Failed
male,group D,high school,standard,none,72,66,66,Passed
female,group B,associate's degree,free/reduced,none,54,65,65,Failed
male,group D,high school,free/reduced,none,74,70,69,Passed
male,group E,some high school,standard,completed,74,64,60,Failed
male,group E,associate's degree,free/reduced,none,64,56,52,Failed
female,group D,high school,free/reduced,completed,65,61,71,Failed
male,group E,associate's degree,free/reduced,completed,46,43,44,Failed
female,group C,some high school,free/reduced,none,48,56,51,Failed
male,group C,some college,free/reduced,completed,67,74,70,Passed
male,group D,some college,free/reduced,none,62,57,62,Failed
male,group D,associate's degree,free/reduced,completed,61,71,73,Passed
male,group C,bachelor's degree,free/reduced,completed,70,75,74,Passed
male,group C,associate's degree,standard,completed,98,87,90,Passed
male,group D,some college,free/reduced,none,70,63,58,Failed
male,group A,associate's degree,standard,none,67,57,53,Failed
female,group E,high school,free/reduced,none,57,58,57,Failed
male,group D,some college,standard,completed,85,81,85,Passed
male,group D,some high school,standard,completed,77,68,69,Passed
male,group C,master's degree,free/reduced,completed,72,66,72,Passed
female,group D,master's degree,standard,none,78,91,96,Passed
male,group C,high school,standard,none,81,66,64,Passed
male,group A,some high school,free/reduced,completed,61,62,61,Failed
female,group B,high school,standard,none,58,68,61,Failed
female,group C,associate's degree,standard,none,54,61,58,Failed
male,group B,high school,standard,none,82,82,80,Passed
female,group D,some college,free/reduced,none,49,58,60,Failed
male,group B,some high school,free/reduced,completed,49,50,52,Failed
female,group E,high school,free/reduced,completed,57,75,73,Passed
male,group E,high school,standard,none,94,73,71,Passed
female,group D,some college,standard,completed,75,77,83,Passed
female,group E,some high school,free/reduced,none,74,74,72,Passed
male,group C,high school,standard,completed,58,52,54,Failed
female,group C,some college,standard,none,62,69,69,Failed
male,group E,associate's degree,standard,none,72,57,62,Failed
male,group C,some college,standard,none,84,87,81,Passed
female,group D,master's degree,standard,none,92,100,100,Passed
female,group D,high school,standard,none,45,63,59,Failed
male,group C,high school,standard,none,75,81,71,Passed
female,group A,some college,standard,none,56,58,64,Failed
female,group D,some high school,free/reduced,none,48,54,53,Failed
female,group E,associate's degree,standard,none,100,100,100,Passed
female,group C,some high school,free/reduced,completed,65,76,75,Passed
male,group D,some college,standard,none,72,57,58,Failed
female,group D,some college,standard,none,62,70,72,Passed
male,group A,some high school,standard,completed,66,68,64,Failed
male,group C,some college,standard,none,63,63,60,Failed
female,group E,associate's degree,standard,none,68,76,67,Passed
female,group B,bachelor's degree,standard,none,75,84,80,Passed
female,group D,bachelor's degree,standard,none,89,100,100,Passed
male,group C,some high school,standard,completed,78,72,69,Passed
female,group A,high school,free/reduced,completed,53,50,60,Failed
female,group D,some college,free/reduced,none,49,65,61,Failed
female,group A,some college,standard,none,54,63,67,Failed
female,group C,some college,standard,completed,64,82,77,Passed
male,group B,some college,free/reduced,completed,60,62,60,Failed
male,group C,associate's degree,standard,none,62,65,58,Failed
male,group D,high school,standard,completed,55,41,48,Failed
female,group C,associate's degree,standard,none,91,95,94,Passed
female,group B,high school,free/reduced,none,8,24,23,Failed
male,group D,some high school,standard,none,81,78,78,Passed
male,group B,some high school,standard,completed,79,85,86,Passed
female,group A,some college,standard,completed,78,87,91,Passed
female,group C,some high school,standard,none,74,75,82,Passed
male,group A,high school,standard,none,57,51,54,Failed
female,group C,associate's degree,standard,none,40,59,51,Failed
male,group E,some high school,standard,completed,81,75,76,Passed
female,group A,some high school,free/reduced,none,44,45,45,Failed
female,group D,some college,free/reduced,completed,67,86,83,Passed
male,group E,high school,free/reduced,completed,86,81,75,Passed
female,group B,some high school,standard,completed,65,82,78,Passed
female,group D,associate's degree,free/reduced,none,55,76,76,Passed
female,group D,bachelor's degree,free/reduced,none,62,72,74,Passed
male,group A,high school,standard,none,63,63,62,Failed
female,group E,master's degree,standard,completed,88,99,95,Passed
male,group C,high school,free/reduced,none,62,55,55,Failed
female,group C,high school,free/reduced,completed,59,71,65,Failed
female,group D,some college,standard,completed,68,78,77,Passed
female,group D,some college,free/reduced,none,77,86,86,Passed
